text,label
"How many calories should I eat to lose weight?",CreateNutritionPlan
"What should my daily protein intake be?",CreateNutritionPlan
"What's my target calorie intake if I want to gain muscle?",CreateNutritionPlan
"Plan my macros for a weight loss goal of 10 pounds.",CreateNutritionPlan
"Need a diet plan that fits 3000 daily calories.",CreateNutritionPlan
"How should I adjust my carbs for endurance training?",CreateNutritionPlan
"Layout my nutrition needs for a low-fat diet.",CreateNutritionPlan
"Can you give me a workout plan for the gym?",CreateWorkoutPlan
"What's a good home exercise routine for beginners?",CreateWorkoutPlan
"Sketch me a weekly workout routine for muscle gain.",CreateWorkoutPlan
"Can you create a 5-day split workout for me?",CreateWorkoutPlan
"I'd like a workout schedule for toning my body.",CreateWorkoutPlan
"What's a good workout plan for someone over 50?",CreateWorkoutPlan
"Draft a workout plan that I can do in 20 minutes a day.",CreateWorkoutPlan
"What meal can I have for lunch that's high in protein but low in carbs?",RecommendMeal
"What are some healthy meal options for breakfast?",RecommendMeal
"Suggest a high-fiber dinner option for tonight.",RecommendMeal
"I need a post-workout meal recommendation.",RecommendMeal
"Give me a meal idea that is under 500 calories.",RecommendMeal
"What's a good protein-rich snack?",RecommendMeal
"I need a quick healthy breakfast option, any ideas?",RecommendMeal
"Give me an exercise to strengthen my core.",RecommendExercise
"What's a good move for targeting my back muscles?",RecommendExercise
"Can you suggest an exercise to improve my flexibility?",RecommendExercise
"What is a good strength training exercise for beginners?",RecommendExercise
"I want an exercise that targets the lower abs.",RecommendExercise
"Recommend a plyometric exercise for explosive power.",RecommendExercise
"Show me an exercise to relieve lower back pain.",RecommendExercise
"How much sugar is in an apple?",QueryFood
"Tell me the calories in grilled salmon.",QueryFood
"How many carbs are in brown rice?",QueryFood
"What is the nutritional content of avocado?",QueryFood
"Is quinoa a good source of protein?",QueryFood
"Calculate the calories in a banana smoothie.",QueryFood
"Check the fat content in almond butter.",QueryFood
"Does cycling work out the leg muscles?",QueryExercise
"What muscle group does the bench press work?",QueryExercise
"What muscles does a plank exercise work?",QueryExercise
"Which exercise can help improve my running speed?",QueryExercise
"Tell me exercises that can strengthen my hamstrings.",QueryExercise
"Identify the primary muscles used in a pull-up.",QueryExercise
"Explain the benefits of deadlifts.",QueryExercise
"What's a good home exercise routine for beginners?",CreateWorkoutPlan
"What's my target calorie intake if I want to gain muscle?",CreateNutritionPlan
