exercise_name,muscle_groups
single-leg press,"quadriceps, glutes, hamstrings"
landmine twist,"abdominals, obliques, lower back"
weighted pull-up,"lats, biceps, shoulders"
t-bar row with handle,"middle back, lats, biceps"
palms-down wrist curl over bench,"forearms, biceps"
atlas stones,"lower back, glutes, hamstrings"
dumbbell front raise to lateral raise,"shoulders, triceps, upper back"
clean from blocks,"quadriceps, hamstrings, calves"
incline hammer curls,"biceps, forearms"
straight-bar wrist roll-up,"forearms, biceps"
barbell glute bridge,"glutes, hamstrings, lower back"
clean and press,"shoulders, triceps, upper back"
triceps dip,"triceps, shoulders, chest"
dumbbell farmer's walk,"forearms, biceps"
palms-up wrist curl over bench,"forearms, biceps"
barbell full squat,"quadriceps, hamstrings, calves"
barbell deficit deadlift,"lower back, glutes, hamstrings"
barbell deadlift,"hamstrings, glutes, calves"
single-arm palm-in dumbbell shoulder press,"shoulders, triceps, upper back"
romanian deadlift with dumbbells,"hamstrings, glutes, calves"
tire flip,"quadriceps, hamstrings, calves"
clean deadlift,"hamstrings, glutes, calves"
elbow plank,"abdominals, core, obliques"
bottoms up,"abdominals, core, obliques"
barbell back squat to box,"quadriceps, hamstrings, calves"
clean and jerk,"shoulders, triceps, upper back"
single-arm kettlebell push-press,"shoulders, triceps, upper back"
push-press,"quadriceps, hamstrings, calves"
suspended ab fall-out,"abdominals, core, obliques"
military press,"shoulders, triceps, upper back"
power snatch,"quadriceps, hamstrings, calves"
sumo deadlift,"hamstrings, glutes, calves"
hang clean,"quadriceps, hamstrings, calves"
dumbbell v-sit cross jab,"abdominals, core, obliques"
reverse band box squat,"quadriceps, hamstrings, calves"
standing palms-in shoulder press,"shoulders, triceps, upper back"
standing cable low-to-high twist,"abdominals, core, obliques"
decline ez-bar skullcrusher,"triceps, shoulders, chest"
standing behind-the-back wrist curl,"forearms, biceps"
seated finger curl,"forearms, biceps"
wide-grip barbell curl,"biceps, forearms"
dumbbell spell caster,"abdominals, core, obliques"
dumbbell floor press,"triceps, shoulders, chest"
lying face down plate neck resistance,neck
pullups,"lats, middle back, biceps"
decline reverse crunch,"abdominals, core, obliques"
